ticket_id,ticket_text,department
TCK-100825,"thanks, I have a question about service information.",general
TCK-100066,"hi team, Can you help? My subscription was declined.",billing
TCK-100142,My refund has the wrong tax amount.,billing
TCK-100926,My service information where can I get more details.,general
TCK-100828,Can you tell me about the user guide; it can you explain this.,general
TCK-100656,I am contacting HR regarding personal details,hr
TCK-100332,I need support for the dashboard; it crashes unexpectedly. pls,technical
TCK-100665,"ASAP, The payslip requires HR assistance.",hr
TCK-100250,The charge was charged twice,billing
TCK-100908,Can you help? The product catalog can you explain this.,general
TCK-100709,I need clarification about my salary account; it requires HR assistance.,hr
TCK-100306,Can you help? The integration does not respond.,technical
TCK-100735,"thanks, My employment letter needs to be submitted",hr
TCK-100976,Where can I find information about the user guide; it can you provide more information.,general
TCK-100897,"ASAP, Could you provide information about FAQ.",general
TCK-100003,My subscription has not generated a receipt.,billing
TCK-100545,My attendance needs to be updated.,hr
TCK-100351,"asap, the authentication returns a 500 error. thanks",technical
TCK-100905,I am having trouble with your company.,general
TCK-100537,can hr help with benefits enrollment.,hr
TCK-100345,I need technical help with account access related to the integration I need assistance,technical
TCK-100995,Could you help me understand the product catalog; it can someone help me understand this.,general
TCK-100482,"hello support, Can someone fix the mobile app; it does not respond. thanks",technical
TCK-100576,I have a question about employment letter.,hr
TCK-100034,"please, I have a question about invoice.",billing
TCK-100032,Can you help? My card is showing an unexpected amount.,billing
TCK-100232,I am having trouble with the cancelled order. pls,billing
TCK-100964,Can you help? Your company can you explain this.,general
TCK-100193,The card payment has not been refunded.,billing
TCK-100334,i have a question about integration.,technical
TCK-100004,Please look into transaction.,billing
TCK-100205,I am having trouble with my card.,billing
TCK-100515,"hi team, Can you help? My payslip has not been received.",hr
TCK-100800,Could you provide information about your company; it is this available.,general
TCK-100307,"need help, My authentication returns a 500 error.",technical
TCK-100110,I have a question about renewal.,billing
TCK-100431,I am having trouble with the API request.,technical
TCK-100078,"hello support, I am having trouble with my invoice.",billing
TCK-100085,Could you check renewal.,billing
TCK-100287,Could you investigate notification.,technical
TCK-100083,"hi team, Please help me with failed payment related to my subscription and let me know what I should do.",billing
TCK-100992,Please explain service information related to the support service as soon as possible.,general
TCK-100790,Could you help me understand service information related to your products for my account.,general
TCK-100895,"kindly check, I am having trouble with the support service.",general
TCK-100399,I have a question about application.,technical
TCK-100324,I need technical help with the website; it is not loading.,technical
TCK-100520,I have an employee query about attendance.,hr
TCK-100917,My mobile application can you provide more information,general
TCK-100923,"kindly check, Can you help? Your website I would like more information.",general
TCK-100006,Please help me with transaction.,billing
TCK-100732,I have an employee query about my salary account; it has not been processed.,hr
TCK-100466,I am facing an issue with the mobile app; it stopped working after the update. pls,technical
TCK-100098,I am having trouble with the monthly plan,billing
TCK-100267,My file upload is not loading.,technical
TCK-100358,I need support for my account; it crashes unexpectedly.,technical
TCK-100869,Please explain plans.,general
TCK-100799,i would like to know about products.,general
TCK-100381,"please, I have a question about integration.",technical
TCK-100632,My benefits enrollment has not been received.,hr
TCK-100382,There is a problem with API related to the login page please.,technical
TCK-100491,"thanks, i am facing an issue with checkout page related to the login page please.",technical
TCK-100119,the payment has not generated a receipt.,billing
TCK-100901,can you tell me about documentation related to your website please.,general
TCK-100251,"urgent, The password reset is not loading.",technical
TCK-100524,Can HR help with my salary account; it requires HR assistance.,hr
TCK-100010,Can you help? My invoice is showing an unexpected amount.,billing
TCK-100197,Can you help? The payment was processed twice,billing
TCK-100604,Can you help? My payslip is not visible in the portal,hr
TCK-100082,"ASAP, I need help regarding the transaction; it is showing an unexpected amount.",billing
TCK-100784,"thanks, I need more details about the user guide; it what options are available.",general
TCK-100588,I have an employee query about salary.,hr
TCK-100798,I have a question about features.,general
TCK-100240,"thanks, I have a question about duplicate charge.",billing
TCK-100291,I need technical help with application.,technical
TCK-100212,"hi team, I need help regarding card payment related to my card I would appreciate your help.",billing
TCK-100718,I am contacting HR regarding my payslip; it is showing an incorrect value,hr
TCK-100360,can you help? the api request stopped working after the update.,technical
TCK-100450,Can someone fix integration,technical
TCK-100228,"kindly check, I am contacting support about refund related to my subscription please",billing
TCK-100951,Please explain your company; it how does this work.,general
TCK-100947,My service information can someone help me understand this.,general
TCK-100797,Could you provide information about services.,general
TCK-100502,"please, My parental leave is showing an incorrect value.",hr
TCK-100465,Can you help? The website returns a 500 error.,technical
TCK-100363,I have a question about application. pls,technical
TCK-100469,Please troubleshoot my account; it shows a blank screen.,technical
TCK-100936,I have a question about mobile application.,general
TCK-100429,can you help? the application is not loading.,technical
TCK-100008,Can you help? My order was processed twice.,billing
TCK-100156,I am having trouble with my account.,billing
TCK-100542,Can you help? My personal information is not visible in the portal.,hr
TCK-100441,"thanks, i need support for the upload feature; it times out",technical
TCK-100483,My application freezes after login. pls,technical
TCK-100423,can you help? the application stopped working after the update.,technical
TCK-100779,My business hours is this available.,general
TCK-100950,I would like to know about FAQ.,general
TCK-100335,please look into server related to the mobile app i need assistance.,technical
TCK-100577,My personal details needs approval.,hr
TCK-100935,Can you help? The user guide how does this work.,general
TCK-100568,can you help? my salary account needs to be updated.,hr
TCK-100595,I need clarification about HR policy related to my employee profile for my account.,hr
TCK-100531,I need clarification about salary.,hr
TCK-100582,Please help me with parental leave related to my employee record I need assistance.,hr
TCK-100708,"kindly check, I need clarification about personal details related to my salary account Please advise.",hr
TCK-100449,My API is not loading.,technical
TCK-100454,Can you help? The application returns a 500 error.,technical
TCK-100229,"thanks, Please look into billing.",billing
TCK-100353,I am having trouble with the server.,technical
TCK-100729,Can you help? My employee profile is showing an incorrect value,hr
TCK-100213,Can you help? The cancelled order was charged twice.,billing
TCK-100080,My billing has not been refunded.,billing
TCK-100149,The refund was charged after cancellation. help needed,billing
TCK-100303,The notification does not respond.,technical
TCK-100629,I have an employee query about my employment details; it is showing an incorrect value.,hr
TCK-100778,I have a question about business hours.,general
TCK-100507,Can HR help with my personal information; it requires HR assistance.,hr
TCK-100343,"thanks, My file upload rejects my credentials.",technical
TCK-100486,I have a question about dashboard.,technical
TCK-100712,Could you check my personal information; it needs to be corrected.,hr
TCK-100134,My charge was charged incorrectly.,billing
TCK-100704,The salary statement is not visible in the portal,hr
TCK-100312,My API shows a blank screen.,technical
TCK-100723,Can you help? My leave balance needs clarification.,hr
TCK-100630,I need HR assistance with salary statement related to my salary account and let me know what I should do.,hr
TCK-100001,can someone investigate failed payment related to my order i would appreciate your help.,billing
TCK-100317,Can someone fix account access.,technical
TCK-100707,I am having trouble with my payslip.,hr
TCK-100548,I am contacting HR regarding employee portal.,hr
TCK-100873,I would like to know about mobile application.,general
TCK-100533,"thanks, The employee benefits is showing an incorrect value.",hr
TCK-100478,"need help, I am having trouble with the server.",technical
TCK-100405,"need help, i have a question about password reset",technical
TCK-100173,Could you check my recent purchase; it was charged after cancellation.,billing
TCK-100126,My refund was charged incorrectly.,billing
TCK-100395,my integration returns a 500 error.,technical
TCK-100421,I am having trouble with the upload feature,technical
TCK-100553,I have a question about employment verification.,hr
TCK-100904,i am having trouble with your services.,general
TCK-100091,Can someone investigate my order; it is showing an unexpected amount.,billing
TCK-100940,Could you provide information about service information. pls,general
TCK-100182,I need help regarding billing related to my card please. pls,billing
TCK-100275,Could you investigate authentication.,technical
TCK-100896,"need help, Where can I find information about the product catalog; it can you tell me more",general
TCK-100070,Can you help? My recent purchase has not been refunded.,billing
TCK-100292,The checkout page crashes unexpectedly.,technical
TCK-100132,The duplicate charge has not generated a receipt.,billing
TCK-100301,I need technical help with authentication related to the upload feature I would appreciate your help,technical
TCK-100425,"hi team, I have a question about dashboard.",technical
TCK-100327,I need technical help with authentication related to the server as soon as possible.,technical
TCK-100145,I have an issue with credit related to my subscription Please advise.,billing
TCK-100424,I need technical help with the integration; it keeps failing.,technical
TCK-100581,"please, The emergency contact requires HR assistance.",hr
TCK-100136,Please help me with card payment related to my recent purchase,billing
TCK-100451,The notification rejects my credentials.,technical
TCK-100165,"please, Could you check credit related to the monthly plan please thanks",billing
TCK-100029,Can someone investigate my invoice; it has the wrong tax amount.,billing
TCK-100774,Where can I find information about your website; it is this available.,general
TCK-100194,"thanks, I need help regarding credit related to my card Can you help?",billing
TCK-100389,I need technical help with mobile app.,technical
TCK-100853,could you help me understand services related to the documentation for my account.,general
TCK-100170,I have an issue with transaction.,billing
TCK-100706,"ASAP, I am having trouble with my personal information",hr
TCK-100141,I am having trouble with the monthly plan.,billing
TCK-100174,"hi team, Could you check subscription related to my order Can you help?",billing
TCK-100007,Could you check charge.,billing
TCK-100746,Can HR help with HR policy.,hr
TCK-100479,Please troubleshoot API related to my account as soon as possible.,technical
TCK-100074,I have an issue with the cancelled order; it has not been refunded.,billing
TCK-100911,I would like to know about your website; it where can I find this.,general
TCK-100814,My services where can I find this.,general
TCK-100239,"ASAP, The fee was charged twice.",billing
TCK-100146,Can you help? My account was charged twice.,billing
TCK-100793,Can you help? The mobile application can you provide more information.,general
TCK-100235,Can you help? My recent purchase has an additional fee.,billing
TCK-100221,The failed payment was declined.,billing
TCK-100924,i need more details about your services; it what options are available.,general
TCK-100501,Can HR help with salary related to my payslip and let me know what I should do,hr
TCK-100133,Can you help? My invoice has the wrong tax amount.,billing
TCK-100991,Can you help? The available plans where can I get more details.,general
TCK-100775,I am having trouble with your products. pls,general
TCK-100186,"need help, The credit was charged twice.",billing
TCK-100042,I need help regarding card payment related to the cancelled order as soon as possible.,billing
TCK-100697,Please help me with employment letter.,hr
TCK-100109,Can you help? The cancelled order has not generated a receipt.,billing
TCK-100589,Can you help? My leave balance has not been processed.,hr
TCK-100057,"ASAP, Can you help? The transaction was charged after cancellation.",billing
TCK-100443,Please troubleshoot mobile app.,technical
TCK-100758,Can you help? Your products can you provide more information. help needed,general
TCK-100998,The business hours can you tell me more.,general
TCK-100025,"please, The renewal has not generated a receipt.",billing
TCK-100468,"kindly check, I need technical help with the login page; it is not loading",technical
TCK-100540,Please look into salary related to my personal information I would appreciate your help.,hr
TCK-100532,"hi team, My employment verification needs clarification.",hr
TCK-100619,I have a question about emergency contact.,hr
TCK-100695,"kindly check, I have a question about benefits enrollment. thx",hr
TCK-100927,Where can I find information about the product catalog; it what options are available,general
TCK-100339,i am facing an issue with website related to my account and let me know what i should do.,technical
TCK-100052,I have an issue with refund related to the monthly plan Can you help?,billing
TCK-100508,The benefits enrollment needs approval.,hr
TCK-100517,Please look into my employment details; it needs to be updated.,hr
TCK-100921,My service information where can I find this.,general
TCK-100782,I am having trouble with your services.,general
TCK-100265,"need help, The application shows a blank screen",technical
TCK-100818,"kindly check, please explain your products; it i would like more information.",general
TCK-100711,The payslip has not been processed.,hr
TCK-100683,The bank details needs clarification.,hr
TCK-100833,My plans where can I get more details,general
TCK-100519,The personal details needs to be updated.,hr
TCK-100448,I have a question about password reset.,technical
TCK-100019,Please help me with billing related to my account Please advise.,billing
TCK-100716,Please help me with payslip related to my benefits please.,hr
TCK-100484,The login stopped working after the update.,technical
TCK-100569,"thanks, Can you help? My payslip is not visible in the portal.",hr
TCK-100434,Please troubleshoot the login page; it stopped working after the update.,technical
TCK-100368,My website rejects my credentials.,technical
TCK-100084,"ASAP, I am having trouble with the transaction",billing
TCK-100062,The duplicate charge was charged after cancellation,billing
TCK-100639,Can you help? My attendance record needs approval.,hr
TCK-100273,Can you help? The dashboard does not respond thx,technical
TCK-100286,"please, Please look into password reset related to the mobile app please.",technical
TCK-100361,Could you investigate account access.,technical
TCK-100355,Can you help? The website is not loading.,technical
TCK-100457,My notification crashes unexpectedly.,technical
TCK-100279,There is a problem with dashboard.,technical
TCK-100013,"urgent, My failed payment is showing an unexpected amount.",billing
TCK-100183,I have a question about transaction.,billing
TCK-100369,Could you investigate API related to the dashboard I would appreciate your help.,technical
TCK-100882,I need more details about mobile application related to the mobile application and let me know what I should do.,general
TCK-100616,My salary statement needs to be corrected.,hr
TCK-100224,I need assistance with charge.,billing
TCK-100573,I am contacting HR regarding employee benefits.,hr
TCK-100971,The company can you explain this.,general
TCK-100654,I am contacting HR regarding my personal information; it is showing an incorrect value.,hr
TCK-100546,"please, Can you help? My employment details needs approval.",hr
TCK-100583,My employee portal needs to be corrected.,hr
TCK-100634,I have a question about bank details.,hr
TCK-100177,Could you check the payment; it is showing an unexpected amount.,billing
TCK-100666,I need clarification about my attendance record; it is not visible in the portal.,hr
TCK-100674,"please, The employment verification has not been processed.",hr
TCK-100586,The payslip needs to be submitted.,hr
TCK-100874,Can you help? Your products where can I get more details.,general
TCK-100394,My server times out.,technical
TCK-100164,My fee was declined.,billing
TCK-100249,the credit was charged incorrectly.,billing
TCK-100635,Could you check my personal information; it needs to be updated. thx,hr
TCK-100886,I am having trouble with the available plans. thx,general
TCK-100670,The employee portal needs to be submitted.,hr
TCK-100376,My password reset keeps failing.,technical
TCK-100413,I have a question about account access thanks,technical
TCK-100075,I need help regarding refund.,billing
TCK-100114,Could you check fee,billing
TCK-100599,Can you help? My employment details needs to be corrected.,hr
TCK-100962,My plans how does this work.,general
TCK-100391,I am having trouble with the upload feature.,technical
TCK-100105,I am contacting support about failed payment related to the monthly plan please.,billing
TCK-100115,"thanks, Can you help? My account has an additional fee.",billing
TCK-100418,Could you investigate the application; it is not loading.,technical
TCK-100526,My salary statement needs to be updated.,hr
TCK-100458,"ASAP, I have a question about notification.",technical
TCK-100410,The server shows a blank screen.,technical
TCK-100093,Can someone investigate the transaction; it has an additional fee.,billing
TCK-100931,My features what options are available.,general
TCK-100090,"please, can you help? my subscription was charged incorrectly.",billing
TCK-100337,I have a question about file upload. pls,technical
TCK-100989,Can you tell me about support related to the mobile application I need assistance.,general
TCK-100922,Could you help me understand user guide related to your services as soon as possible.,general
TCK-100934,Can you help? The documentation can you tell me more.,general
TCK-100606,I have a question about payslip.,hr
TCK-100594,Can you help? My employee record needs to be submitted.,hr
TCK-100612,"ASAP, My benefits enrollment is showing an incorrect value.",hr
TCK-100095,Can you help? The monthly plan has not generated a receipt.,billing
TCK-100012,can someone investigate my subscription; it was charged after cancellation,billing
TCK-100397,There is a problem with verification code.,technical
TCK-100534,Can HR help with my employment details; it needs to be corrected,hr
TCK-100044,Can someone investigate my recent purchase; it has not generated a receipt.,billing
TCK-100043,The refund was declined.,billing
TCK-100330,My file upload returns a 500 error.,technical
TCK-100168,"urgent, the tax was charged twice.",billing
TCK-100498,i need technical help with dashboard.,technical
TCK-100877,Can you help? Your website is this available.,general
TCK-100598,I have a question about employment letter,hr
TCK-100757,i need more details about products related to your company and let me know what i should do.,general
TCK-100101,I am having trouble with my recent purchase.,billing
TCK-100427,Could you investigate the application; it crashes unexpectedly.,technical
TCK-100179,I have a question about credit.,billing
TCK-100445,Could you investigate mobile app. thanks,technical
TCK-100417,My verification code is not loading,technical
TCK-100871,I have a question about products.,general
TCK-100883,My contact information can you provide more information.,general
TCK-100681,My attendance needs to be submitted. thanks,hr
TCK-100178,I am contacting support about the monthly plan; it is showing an unexpected amount.,billing
TCK-100396,The integration times out.,technical
TCK-100912,I would like to know about product information.,general
TCK-100794,Could you provide information about service information related to your website Please advise.,general
TCK-100961,My product information I would like more information.,general
TCK-100685,Please look into payslip.,hr
TCK-100384,My checkout page stopped working after the update.,technical
TCK-100957,Could you provide information about product information.,general
TCK-100752,Can you help? The product catalog is this available.,general
TCK-100258,My website freezes after login.,technical
TCK-100539,I need HR assistance with bank details.,hr
TCK-100336,My application stopped working after the update.,technical
TCK-100016,I am having trouble with the transaction.,billing
TCK-100325,I have a question about checkout page.,technical
TCK-100759,Can you help? The available plans what options are available. help needed,general
TCK-100223,I am contacting support about fee.,billing
TCK-100180,I have a question about card payment.,billing
TCK-100984,I have a question about plans.,general
TCK-100023,"need help, Can you help? My card was charged incorrectly.",billing
TCK-100357,"please, There is a problem with authentication related to the integration — please advise",technical
TCK-100667,I have a question about emergency contact. pls,hr
TCK-100862,"thanks, My mobile application can you explain this.",general
TCK-100341,the api freezes after login.,technical
TCK-100432,"urgent, I have a question about dashboard.",technical
TCK-100552,Please look into my personal information; it has not been received.,hr
TCK-100834,I am having trouble with the mobile application.,general
TCK-100204,Can you help? The payment was processed twice.,billing
TCK-100631,"urgent, I need clarification about leave related to my HR request and let me know what I should do",hr
TCK-100094,My credit has not been refunded.,billing
TCK-100559,The salary has not been processed,hr
TCK-100069,Please look into tax.,billing
TCK-100623,The parental leave needs to be submitted.,hr
TCK-100285,"urgent, I am having trouble with the API request.",technical
TCK-100845,where can i find information about service information related to your products — please advise.,general
TCK-100435,my server keeps failing.,technical
TCK-100154,My credit was processed twice.,billing
TCK-100076,My refund has not been refunded.,billing
TCK-100731,"thanks, The emergency contact is not visible in the portal",hr
TCK-100447,"ASAP, Can you help? The mobile app returns a 500 error. help needed",technical
TCK-100189,My invoice was charged twice.,billing
TCK-100272,i am having trouble with the login page.,technical
TCK-100237,I am contacting support about tax related to my invoice Can you help?,billing
TCK-100488,"hello support, I need technical help with server related to the application and let me know what I should do.",technical
TCK-100118,I have a question about receipt.,billing
TCK-100944,"hello support, I am having trouble with the user guide.",general
TCK-100513,I need clarification about benefits enrollment related to my HR request and let me know what I should do.,hr
TCK-100826,I would like to know about your website; it what options are available.,general
